cap-shape;cap-surface;cap-color;bruises?;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;;t;n;;;;;;;;;;;;;o;;;v;;e
x;;;;;;;;;;c;;;;;;;o;;;;;e
;s;;;n;;;;;;;;;;;;;o;;;;;e
;;;;n;;;;;;;;;;;;;o;;;;g;e
;;;t;;;;;g;;;;;;;;;o;;;;;e
b;s;;;;;;;;;;;;;;;;o;;;;;e
b;;;;;;;;;;;;;;;;;o;;;;g;e
;;e;;;;;;w;;;;;;;;;o;;;;;e
;;;;;;;;;;;;;;;;;o;;;;m;e
;;;;;a;;;;;;;;;;;;o;;;;;e
;;;;n;;c;n;;;;s;;;;;;;;;;;e
;;;;n;;c;;;;;s;;;;;;;;w;;;e
k;;;;n;;c;;;;;s;;;;;;;;;;;e
;;;;;;c;;;e;;s;;;;;;;;w;;;e
k;;;;;;c;;;e;;s;;;;;;;;;;;e
;;;;;;c;;w;;;s;;;;;;;;w;;;e
;;;;;;c;;;;;s;;;;;;;;;c;;e
;;;;n;;c;;;;;;s;;;;;;;w;;;e
k;;;;n;;c;;;;;;s;;;;;;;;;;e
;;;;;;c;;;e;;;s;;;;;;;w;;;e
k;;;;;;c;;;e;;;s;;;;;;;;;;e
;;;;;;c;;w;;;;s;;;;;;;w;;;e
;;;;;;c;;;;;;s;;;;;;;;c;;e
;;;;n;;c;n;;;;;;;w;;;;;;;;e
;;;;n;;c;;;;;;;;w;;;;;w;;;e
;;;;;;c;;;e;;;;;w;;;;;w;;;e
;;;;;;c;;;;;;;;;;;;p;;;l;e
;;;;n;;c;;;;;;;;;;;;;;;l;e
;;;;n;;c;;;;;;;;;;;;;;c;;e
;;;;;;c;;;e;;;;;;;;;;;;l;e
;;;t;;;c;;;;;;;;;;;;;;c;;e
;;;t;;;c;;;;;;;;;;;;;w;;;e
;;;;;;c;;;;;;;;;;;;e;;c;;e
;;y;;;;c;;;;c;;;;;;;;;;;;e
b;;;;;;c;;;;c;;;;;;;;;;;;e
;;;f;;;;b;;;;s;;;;;;;;;;;e
x;;;;;;;b;;e;;s;;;;;;;;;;;e
x;y;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;p;e;;s;;;;;;;;;;;e
;y;;;;;;b;p;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;d;e
;;;;;;;b;;;;s;;;;;;;;w;;;e
;f;;;;;;b;;;;s;;;;;;;;;;;e
;;n;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;p;;;;;;;;e
;;;;;;;b;;;;s;;p;;;;;;;;;e
;;e;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;p;e
k;;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;c;;e
;;;f;;;;b;;;;;s;;;;;;;;;;e
x;;;;;;;b;;e;;;s;;;;;;;;;;e
x;y;;;;;;b;;;;;s;;;;;;;;;;e
;y;;;;;;b;p;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;;d;e
;;;;;;;b;;;;;s;;;;;;;w;;;e
;f;;;;;;b;;;;;s;;;;;;;;;;e
;;n;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;p;;;;;;;;e
;;;;;;;b;;;;;s;p;;;;;;;;;e
;;e;;;;;b;;;;;s;;;;;;;;;;e
k;;;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;c;;e
;;;f;;;;b;;t;;;;;;;;;;;;;e
;;;f;;;;b;;;;;;w;;;;;;;;;e
;;;f;;;;b;;;;;;;w;;;;;;;;e
;;;f;;;;b;;;;;;;;;;;p;;;;e
;;;f;n;;;b;;;;;;;;;;;;;;;e
;s;;f;;;;b;;;;;;;;;;;;;;;e
;;;f;;;;b;;;;;;;;;;;;;s;;e
;;w;f;;;;b;;;;;;;;;;;;;;;e
b;;;f;;;;b;;;;;;;;;;;;;;;e
;y;;;;;;b;;t;;;;;;;;;;;;;e
;;;;;;;b;;t;;;;;;;;;;;;d;e
;;n;;;;;b;;t;;;;;;;;;;;;;e
;;;;;;;b;;t;;;;;p;;;;;;;;e
;;;;;;;b;;t;;;;p;;;;;;;;;e
;;e;;;;;b;;t;;;;;;;;;;;;;e
x;;;;;;;b;;e;;;;w;;;;;;;;;e
x;y;;;;;;b;;;;;;w;;;;;;;;;e
;;g;;;;;b;;e;;;;w;;;;;;;;;e
;;;;;;;b;p;e;;;;w;;;;;;;;;e
;y;;;;;;b;p;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;;d;e
;;;;;;;b;;;;;;w;;;;;;w;;;e
;;;;;;;b;;;;k;;w;;;;;;;;;e
;f;;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;k;w;;;;;;;;;e
;;n;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;p;;;;;;;;e
;;e;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;;p;e
;;y;;;;;b;;;;;;w;;;;;;;;;e
k;;;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;y;w;;;;;;;;;e
x;;;;;;;b;;e;;;;;w;;;;;;;;e
x;y;;;;;;b;;;;;;;w;;;;;;;;e
;;g;;;;;b;;e;;;;;w;;;;;;;;e
;;;;;;;b;p;e;;;;;w;;;;;;;;e
;y;;;;;;b;p;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;;d;e
;;;;;;;b;;;;;;;w;;;;;w;;;e
;;;;;;;b;;;;k;;;w;;;;;;;;e
;f;;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;k;;w;;;;;;;;e
;;n;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;p;w;;;;;;;;e
;;e;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;;p;e
k;;;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;w;;;;;;;;;;;;v;d;e
;;n;;;;;b;;;;;;;;;;;;;v;;e
;;e;;;;;b;;;;;;;;;;;;;v;;e
x;;;;;;;b;;e;;;;;;;;;p;;;;e
x;y;;;;;;b;;;;;;;;;;;p;;;;e
;;g;;;;;b;;e;;;;;;;;;p;;;;e
;;;;;;;b;p;e;;;;;;;;;p;;;;e
;y;;;;;;b;p;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;p;;;d;e
;;;;;;;b;;;;;;;;;;;p;w;;;e
;f;;;;;;b;;;;;;;;;;;p;;;;e
;;n;;;;;b;;;;;;;;;;;p;;;;e
k;;;;;;;b;;;;;;;;;;;p;;;;e
x;;;;n;;;b;;;;;;;;;;;;;;;e
x;;;t;;;;b;;e;;;;;;;;;;;;;e
x;s;;;;;;b;;e;;;;;;;;;;;;;e
x;;w;;;;;b;;e;;;;;;;;;;;;;e
x;y;;t;;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;;d;e
;;;;n;;;b;;;;;;;;;;;;w;;;e
;;;;n;;;b;;;;k;;;;;;;;;;;e
;f;;;n;;;b;;;;;;;;;;;;;;;e
;;n;;n;;;b;;;;;;;;;;;;;;;e
k;;;;n;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;c;;e
;;;;;;;b;;e;;;;;;;;;;;s;;e
;y;;t;;;;b;p;;;;;;;;;;;;;;e
;;;t;;;;b;;;;;;;;;;;;;c;;e
;;;t;;;;b;;;;;;;;;;;;w;;;e
;;n;t;;;;b;;;;;;;;;;;;;;;e
;y;;;;;;b;;;;;;;;;;;;;s;;e
;;;;;;;b;;;;;;;;;;;e;;;;e
;s;;;;;;b;;;;;;;;;;;;w;;;e
;s;n;;;;;b;;;;;;;;;;;;;;;e
k;s;;;;;;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;?;;;;;;;;;;;;e
;f;;;;;;b;;;;;;;;;;;;w;;;e
;;;;;;;b;;;;;k;;;;;;;w;;;e
;;w;;;;;b;;;;;;;;;;;;w;;;e
b;;;;;;;b;;;;;;;;;;;;w;;;e
;f;n;;;;;b;;;;;;;;;;;;;;;e
;f;;;;;;b;;;;;;;;;;;;;s;;e
;f;;;;;;b;w;;;;;;;;;;;;;;e
;f;w;;;;;b;;;;;;;;;;;;;;;e
;;n;;;;;b;;;;;;;;;;;;;;g;e
;;n;;;;;b;;;;;;;p;;;;;;;;e
;;n;;;;;b;;;;;;p;;;;;;;;;e
;;n;;;;;b;p;;;;;;;;;;;;;;e
;;n;;;;;b;;;;;;;;;;;;;s;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;e;;;;;b;;;;;;;p;;;;;;;;e
;;e;;;;;b;;;;;;p;;;;;;;;;e
;;;;;;w;b;;;;;;;;;;;;;;;e
;;;;;;;b;g;;;;;;;;;;;;s;;e
;;;;;;;b;;;e;;;;;;;;;;;;e
;;y;;;;;b;;;c;;;;;;;;;;;;e
b;;y;;;;;b;;;;;;;;;;;;;;;e
;;;;;;;b;n;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;;;;l;e
b;;;;;;;b;;;c;;;;;;;;;;;;e
;;;;;;;b;u;;;;;;;;;;;;;;e
;;;;;;;b;k;;;;;;;;;;;;;;e
;;;f;n;;;;;;;s;;;;;;;;;;;e
f;;;f;;;;;;e;;s;;;;;;;;;;;e
;;;f;;;;;;e;;s;;;;;;;;w;;;e
;;n;f;;;;;;e;;s;;;;;;;;;;;e
;;;f;;;;;;e;;s;;;;;;;;;;l;e
k;;;f;;;;;;e;;s;;;;;;;;;;;e
f;;;f;;;w;;;;;s;;;;;;;;;;;e
;;;f;;;w;;;;;s;;;;;;;;w;;;e
;;;f;;;;;;;;s;;;;;;;;;;g;e
;;;f;;;;;h;;;s;;;;;;;;;;;e
x;y;;;;;;;;;b;s;;;;;;;;;;;e
;y;;;;;;;;;b;s;;;;;;;;;;d;e
;y;;;;;;;p;;b;s;;;;;;;;;;;e
f;;;;;;;;;;b;s;;;;;;;;;;d;e
;;;;;;;;;;b;s;;;p;;;;;;;;e
;;;;;;;;;;b;s;;p;;;;;;;;;e
x;;;;n;;;;;;;s;;;;;;;;;;;e
x;;;;;;;;;e;;s;;;;;;;;w;;;e
;;;;n;;;;;;;s;;;;;;;;;;d;e
;;;;n;;;;;;;s;;;;;;;e;;;;e
;;;;n;;;;;;?;s;;;;;;;;;;;e
;f;;;n;;;;;;;s;;;;;;;;;;;e
;;n;;n;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;e;;s;;;;;;;e;;;;e
;;;;;;;;;e;?;s;;;;;;;;;;;e
;;;;;;;;;e;;s;;;;;;;;;;p;e
;y;;;;;;;p;;;s;;;;;;;;;;d;e
;y;g;;;;;;;;;s;;;;;;;;;;;e
f;;g;;;;;;;;;s;;;;;;;;;;d;e
f;;;;;;;;p;;;s;;;;;;;;;;d;e
f;f;;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;w;;;s;;;;;;;;;;d;e
;f;;;;;;;;;;s;;;;;;;e;;;;e
;;;;;;w;;;;;s;;;;;;;e;;;;e
;;;;;;;;w;;;s;;;;;;;e;;;;e
;;;;;;;;;;;s;;;;;;;e;;c;;e
;;;;;;;;w;;?;s;;;;;;;;;;;e
;f;n;;;;;;;;;s;;;;;;;;;;;e
;f;;;;;;;;;;s;;;;;;;;;;g;e
;f;;;;;;;;;;s;;;p;;;;;;;;e
;f;;;;;;;;;;s;;p;;;;;;;;;e
;f;;;;;;;w;;;s;;;;;;;;;;;e
;;n;;;;;;;;;s;;;;;;;;;c;;e
;;g;;;;;;;;;s;;;p;;;;;;;;e
;;;;;;;;p;;;s;;;p;;;;;;;;e
;;g;;;;;;;;;s;;p;;;;;;;;;e
;;;;;;;;p;;;s;;p;;;;;;;;;e
;;;;;;;;;;;s;;;;;;;;;y;;e
;;e;;;;;;w;;;s;;;;;;;;;;;e
;;y;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;;c;s;;;;;;;;;;;e
;;;;;;;;;;;s;y;;;;;;;;;;e
;;;;;a;;;;;;s;;;;;;;;;;;e
;;;f;n;;;;;;;;s;;;;;;;;;;e
;;;f;;;;;;e;;;s;;;;;;;w;;;e
;;n;f;;;;;;e;;;s;;;;;;;;;;e
;;;f;;;;;;e;;;s;;;;;;;;;l;e
k;;;f;;;;;;e;;;s;;;;;;;;;;e
f;;;f;;;w;;;;;;s;;;;;;;;;;e
;;;f;;;w;;;;;;s;;;;;;;w;;;e
;;;f;;;;;;;;;s;;;;;;;;;g;e
x;y;;;;;;;;;b;;s;;;;;;;;;;e
;y;;;;;;;;;b;;s;;;;;;;;;d;e
;y;;;;;;;p;;b;;s;;;;;;;;;;e
f;;;;;;;;;;b;;s;;;;;;;;;d;e
;;;;;;;;;;b;;s;;p;;;;;;;;e
;;;;;;;;;;b;;s;p;;;;;;;;;e
x;;;;n;;;;;;;;s;;;;;;;;;;e
x;;;;;;;;;e;;;s;;;;;;;w;;;e
;;;;n;;;;;;;;s;;;;;;;;;d;e
;;;;n;;;;;;;;s;;;;;;e;;;;e
;;;;n;;;;;;?;;s;;;;;;;;;;e
;f;;;n;;;;;;;;s;;;;;;;;;;e
;;n;;n;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;e;;;s;;;;;;e;;;;e
;;;;;;;;;e;?;;s;;;;;;;;;;e
;y;;;;;;;p;;;;s;;;;;;;;;d;e
;y;g;;;;;;;;;;s;;;;;;;;;;e
f;;g;;;;;;;;;;s;;;;;;;;;d;e
f;;;;;;;;p;;;;s;;;;;;;;;d;e
f;f;;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;w;;;;s;;;;;;;;;d;e
;f;;;;;;;;;;;s;;;;;;e;;;;e
;;;;;;w;;;;;;s;;;;;;e;;;;e
;;;;;;;;w;;;;s;;;;;;e;;;;e
;;;;;;;;;;;;s;;;;;;e;;c;;e
;;;;;;;;w;;?;;s;;;;;;;;;;e
;f;n;;;;;;;;;;s;;;;;;;;;;e
;f;;;;;;;;;;;s;;;;;;;;;g;e
;f;;;;;;;;;;;s;;p;;;;;;;;e
;f;;;;;;;;;;;s;p;;;;;;;;;e
;f;;;;;;;w;;;;s;;;;;;;;;;e
;;n;;;;;;;;;;s;;;;;;;;c;;e
;;g;;;;;;;;;;s;;p;;;;;;;;e
;;;;;;;;p;;;;s;;p;;;;;;;;e
;;g;;;;;;;;;;s;p;;;;;;;;;e
;;;;;;;;p;;;;s;p;;;;;;;;;e
;;;;;;;;;;;;s;;;;;;;;y;;e
;;e;;;;;;w;;;;s;;;;;;;;;;e
;;y;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;;c;;s;;;;;;;;;;e
;;;;;a;;;;;;;s;;;;;;;;;;e
;;;f;;;;;;t;;;;;;;;;;;;g;e
;;g;f;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;;p;t;;;;;;;;;;;;;e
;;;f;;;;;;t;;;;;;;;;;;s;;e
;;w;f;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;;h;t;;;;;;;;;;;;;e
;;;f;n;;w;;;;;;;w;;;;;;;;;e
f;;g;f;;;;;;;;;;w;;;;;;;;;e
f;;;f;;;;;p;;;;;w;;;;;;;;;e
f;;;f;;;w;;;;;;;w;;;;;;;;;e
;;;f;;;w;;;;;;;w;;;;;;w;;;e
;;;f;;;;;;;;;;w;;;;;;;;g;e
;;;f;;;w;;w;;;;;w;;;;;;;;;e
k;;;f;;;w;;;;;;;w;;;;;;;;;e
;;;f;;;;;h;;;;;w;;;;;;;;;e
;;;f;n;;;;;;;;;;w;;;;;;;;e
;;;f;;;;;;e;;;;;w;;;;;w;;;e
f;;;f;;;w;;;;;;;;w;;;;;;;;e
f;;g;f;;;;;;;;;;;w;;;;;;;;e
f;;;f;;;;;p;;;;;;w;;;;;;;;e
;;;f;;;w;;;;;;;;w;;;;;w;;;e
;;;f;;;;;;;;;;;w;;;;;;;g;e
;;;f;;;;;w;;;;;;w;;;;;;;;e
;;;f;;;;;h;;;;;;w;;;;;;;;e
;;;f;n;;;;;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;w;;;e
;;n;f;;;;;;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;;;g;e
;;;f;;;;;w;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;;;l;e
k;;;f;;;;;;;;;;;;;;;p;;;;e
b;;;f;;;;;;;;;;;;;;;p;;;;e
;s;;f;n;;;;;;;;;;;;;;;;;;e
;;;f;n;;;;;;;;;;;;;;;;;g;e
;;w;f;n;;;;;;;;;;;;;;;;;;e
;;;f;n;;;;g;;;;;;;;;;;;;;e
;s;n;f;;;;;;e;;;;;;;;;;;;;e
f;;;f;;;;;;;;;;;;;;;;n;;;e
f;;;f;;;;;;;;;;;;;;;;k;;;e
f;;;f;;;;;;;;;;;;;;;;;s;;e
f;;;f;;;;;n;;;;;;;;;;;;;;e
f;;w;f;;;;;;;;;;;;;;;;;;;e
;s;;f;;;;;;;;;;;;;;;;;;g;e
;;w;f;;;;;;;;;;;;;;;;w;;;e
;;n;f;;;;;;;;;;;;;;;;;;g;e
;;n;f;;;;;;;;;;;;;;;;n;;;e
;;n;f;;;;;;;;;;;;;;;;k;;;e
;;n;f;;;;;;;;;;;;;;;;;s;;e
;;n;f;;;;;n;;;;;;;;;;;;;;e
;;;f;;;;;;;;;;;;;;;;n;;g;e
;;;f;;;;;;;;;;;;;;;;k;;g;e
;;;f;;;;;;;;;;;;;;;;;s;g;e
;;;f;;;;;n;;;;;;;;;;;;;g;e
;;w;f;;;;;;;;;;;;;;;;;;g;e
;;;f;;;;;;;e;;;;;;;;;;;;e
;;;f;;;;;;;;;f;;;;;;;;;;e
;;;f;;;;;;;;;;;;;;t;;;;;e
;;;f;;;;;;;;f;;;;;;;;;;;e
;;;f;;;;;k;;;;;;;;;;;;;;e
;;;;;;;;;t;;;;;;;;;p;;;d;e
;;;;;;;;;t;b;;;;;;;;;;;d;e
;;n;;;;;;;t;;;;;;;;;p;;;;e
;;n;t;;;;;;t;;;;;;;;;;;;;e
;;;;;;;;;t;b;;;;p;;;;;;;;e
;;;;;;;;;t;b;;;p;;;;;;;;;e
;;;;n;;;;;t;;;;;;;;;;;;;e
;y;g;;;;;;;t;;;;;;;;;;;;;e
;y;;;;;;;p;t;;;;;;;;;;;;;e
;y;;;;;;;w;t;;;;;;;;;;;;;e
;;g;;;;;;;t;;;;;;;;;;;;d;e
;;;;;;;;p;t;;;;;;;;;;;;d;e
;;;;;;;;w;t;;;;;;;;;;;;d;e
;f;;;;;;;;t;;;;;;;;;;;;;e
;;n;;;;;;;t;;;;;;;;;;;;g;e
;;n;;;;;;p;t;;;;;;;;;;;;;e
;;n;;;;;;;t;;;;;;;;;;;s;;e
;;n;;;;;;w;t;;;;;;;;;;;;;e
;;;;;;;;;t;;;;;;;;;;n;;;e
;;;;;;;;;t;;;;;;;;;;k;;;e
;;g;;;;;;;t;;;;;p;;;;;;;;e
;;;;;;;;p;t;;;;;p;;;;;;;;e
;;g;;;;;;;t;;;;p;;;;;;;;;e
;;;;;;;;p;t;;;;p;;;;;;;;;e
;;;;;;;;;t;;;;;;;;;;;y;;e
;;e;;;;;;w;t;;;;;;;;;;;;;e
;;;;;;w;;;t;;;;;;;;;;;;;e
;;;;;;;;;t;e;;;;;;;;;;;;e
;;;;;;;;n;t;;;;;;;;;;;;;e
;;;;;;;;u;t;;;;;;;;;;;;;e
;;;;;;;;k;t;;;;;;;;;;;;;e
x;y;;;;;;;;;b;;;w;;;;;;;;;e
;y;;;;;;;;;b;;;w;;;;;;;;d;e
f;;;;;;;;;;b;;;w;;;;;;;;d;e
f;f;;;;;;;;;b;;;w;;;;;;;;;e
;;;;;;;;;;b;;;w;p;;;;;;;;e
;;;;;;;;;e;;;k;w;;;;;;;;;e
;;g;;;;;;;e;;;;w;;;;;;;;g;e
;;;;;;;;;e;;;;w;;;;;;;;p;e
;y;g;;;;;;;;;;;w;;;;;;;;;e
f;f;g;;;;;;;;;;;w;;;;;;;;;e
f;f;;;;;;;p;;;;;w;;;;;;;;;e
;;;;;;w;;;;;;;w;;;;;e;;;;e
;;;;;;;;;;;k;;w;;;;;;;;g;e
;f;;;;;;;;;;;;w;;;;;;;;g;e
;;;;;;;;;;;;k;w;;;;;;;;g;e
;;y;;;;;;;;;;;w;;;;;;;;g;e
;;;;;;;;;;;;;w;;;;;;;y;;e
;;;;;;;;;;c;;;w;;;;;;;;;e
x;y;;;;;;;;;b;;;;w;;;;;;;;e
;y;;;;;;;;;b;;;;w;;;;;;;d;e
f;;;;;;;;;;b;;;;w;;;;;;;d;e
;;;;;;;;;;b;;;p;w;;;;;;;;e
x;;;;n;;;;;;;;;;w;;;;;;;;e
x;;;;;;;;;e;;;;;w;;;;;w;;;e
;;;;n;;;;;;;;;;w;;;;;;;d;e
;;;;n;;;;;;;;;;w;;;;e;;;;e
;;;;n;;;;;;?;;;;w;;;;;;;;e
;;;;n;;;;;;;k;;;w;;;;;;;;e
;f;;;n;;;;;;;;;;w;;;;;;;;e
;;n;;n;;;;;;;;;;w;;;;;;;;e
;;;;;;;;;e;?;;;;w;;;;;;;;e
;;;;;;;;;e;;k;;;w;;;;;;;;e
;;;;;;;;;e;;;k;;w;;;;;;;;e
;;g;;;;;;;e;;;;;w;;;;;;;g;e
;;;;;;;;;e;;;;;w;;;;;;;p;e
;y;g;;;;;;;;;;;;w;;;;;;;;e
f;f;;;;;;;;;;;;;w;;;;;;;;e
;;;;;;;;w;;;;;;w;;;;;;;d;e
;f;;;;;;;;;;;;;w;;;;e;;;;e
;;;;;;w;;;;;;;;w;;;;e;;;;e
;f;;;;;;;;;?;;;;w;;;;;;;;e
;;;;;;;;w;;?;;;;w;;;;;;;;e
;f;;;;;;;;;;;;;w;;;;;w;;;e
;;;;;;;;;;;k;;;w;;;;;;;g;e
;f;n;;;;;;;;;;;;w;;;;;;;;e
;f;;;;;;;;;;;;;w;;;;;;;g;e
;f;;;;;;;w;;;;;;w;;;;;;;;e
;;;;;;;;;;;;k;;w;;;;;;;g;e
;;;;;;;;;;;;;;w;;;;;;y;;e
;;y;;;;;;;;;;;;w;;;;;;;;e
;;;;;;;;;;c;;;;w;;;;;;;;e
;;;;;;;;;;;;y;;w;;;;;;;;e
;;;;n;;;;;;;;;;;;;;;;v;l;e
;;;;;;;;;e;;;;;;;;;;;v;l;e
x;y;;;;;;;;;b;;;;;;;;p;;;;e
;y;;;;;;;p;;b;;;;;;;;p;;;;e
x;;;;n;;;;;;;;;;;;;;p;;;;e
x;;;;;;;;;;;;;;;;;;p;w;;;e
;;;;n;;;;;;;;;;;;;;p;;;d;e
;f;;;n;;;;;;;;;;;;;;p;;;;e
;;n;;n;;;;;;;;;;;;;;p;;;;e
;;g;;;;;;;e;;;;;;;;;p;;;g;e
;y;;;;;;;;;;;;;;;;;p;;;d;e
;y;g;;;;;;;;;;;;;;;;p;;;;e
f;;;;;;;;;;;;;;;;;;p;;;d;e
f;f;;;;;;;;;;;;;;;;;p;;;;e
;;n;;;;;;;;;;;;;;;;p;;;d;e
