cap-shape;cap-surface;cap-color;bruises?;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;y;;;;;;;g;;;;s;;;;;o;;;;;e
;;;;;;;;g;;;;s;;;;;o;;;;g;e
;y;;;;;;;;;b;;;w;;;;o;;;v;;e
;y;;;;;;;g;;;;;w;;;;o;;;;;e
;;;;;;;;g;;;;;w;;;;o;;;;g;e
;y;;;;;;;;;b;;;;w;;;o;;;v;;e
;;;;n;;;;;;;;;;w;;;o;;;v;;e
;y;;;;;;;g;;;;;;w;;;o;;;;;e
;;;;;;;;g;;;;;;w;;;o;;;;g;e
;y;;;;;;;;;b;;;;;;;o;p;;v;;e
;;;;n;;;;;;;;;;;;;o;p;;v;;e
;;;;n;;;;;;b;;;;;;;o;;;v;;e
;y;;t;;;;;;;b;;;;;;;o;;;v;;e
;y;;;;;;;w;;b;;;;;;;o;;;v;;e
;;;t;n;;;;;;;;;;;;;o;;;v;;e
;y;;;;;;;g;;;;;;;;;o;p;;;;e
;;;;;;;;g;;;;;;;;;o;p;;;g;e
x;;;;;;;;;;c;;;;;;;o;;;;;e
;s;;;n;;;;;;;;;;;;;o;;;;;e
;;;;n;;;;;;;;;;;;;o;;;;g;e
;;;t;;;;;g;;;;;;;;;o;;;;;e
b;s;;;;;;;;;;;;;;;;o;;;;;e
;;n;;;;;;;;;;;;;;;o;;;c;;e
;;n;;;;;;y;;;;;;;;;o;;;;;e
b;;;;;;;;;;;;;;;;;o;;;;g;e
;;e;;;;;;w;;;;;;;;;o;;;;;e
b;;;;;;;;g;;;;;;;;;o;;;;;e
;;;;;;;;;;;;;;;;;o;;;;m;e
;;;;;a;;;;;;;;;;;;o;;;;;e
;;;;n;;c;n;;;;s;;;;;;;;;;;e
;;;;n;;c;;;;;s;;;;;;;;w;;;e
k;;;;n;;c;;;;;s;;;;;;;;;;;e
;;;;;;c;;;e;;s;;;;;;;;w;;;e
k;;;;;;c;;;e;;s;;;;;;;;;;;e
;;;;;;c;;w;;;s;;;;;;;;w;;;e
;;;;;;c;;;;;s;;;;;;;;;c;;e
;;;;n;;c;n;;;;;s;;;;;;;;;;e
;;;;n;;c;;;;;;s;;;;;;;w;;;e
k;;;;n;;c;;;;;;s;;;;;;;;;;e
;;;;;;c;;;e;;;s;;;;;;;w;;;e
k;;;;;;c;;;e;;;s;;;;;;;;;;e
;;;;;;c;;w;;;;s;;;;;;;w;;;e
;;;;;;c;;;;;;s;;;;;;;;c;;e
;;;;;;c;;;;;;;w;;;;;;;c;;e
;;;;n;;c;n;;;;;;;w;;;;;;;;e
;;;;n;;c;;;;;;;;w;;;;;w;;;e
;;;;;;c;;;e;;;;;w;;;;;w;;;e
;;;;;;c;;w;;;;;;w;;;;;w;;;e
;;;;;;c;;;;;;;;w;;;;;;c;;e
;;;;n;;c;n;;;;;;;;;;;p;;;;e
;;;;;;c;;;;;;;;;;;;p;;;l;e
k;;;;;;c;;;;;;;;;;;;p;;;;e
;;;;;;c;;;;;;;;;;;;p;;c;;e
;;;;n;;c;;;;;;;;;;;;;;;l;e
;;;;n;;c;;;;;;;;;;;;;;c;;e
;;;;n;;c;;y;;;;;;;;;;;;;;e
;;;;;;c;;;e;;;;;;;;;;;;l;e
;;;t;;;c;;;;;;;;;;;;;;c;;e
;;;t;;;c;;;;;;;;;;;;;w;;;e
k;;;t;;;c;;;;;;;;;;;;;;;;e
;;;;;;c;;;;;;;;;;;;e;;c;;e
;;y;;;;c;;;;c;;;;;;;;;;;;e
;;;;;;c;;;;;;;;;;;;;;c;l;e
;;;;;;c;;y;;;;;;;;;;;;;l;e
b;;;;;;c;;;;c;;;;;;;;;;;;e
;;;f;;;;b;;;;s;;;;;;;;;;;e
x;;;;;;;b;;e;;s;;;;;;;;;;;e
x;y;;;;;;b;;;;s;;;;;;;;;;;e
x;;;;;;;b;g;;;s;;;;;;;;;;;e
;;g;;;;;b;;e;;s;;;;;;;;;;;e
;;;;;;;b;p;e;;s;;;;;;;;;;;e
;y;;;;;;b;p;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;d;e
;;;;;;;b;;;;s;;;;;;;;w;;;e
;f;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;k;;;;;;;;;;e
;;n;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;p;;;;;;;;e
;;;;;;;b;;;;s;;p;;;;;;;;;e
;;e;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;p;e
k;;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;c;;e
;;;f;;;;b;;;;;s;;;;;;;;;;e
x;;;;;;;b;;e;;;s;;;;;;;;;;e
x;y;;;;;;b;;;;;s;;;;;;;;;;e
x;;;;;;;b;g;;;;s;;;;;;;;;;e
;;g;;;;;b;;e;;;s;;;;;;;;;;e
;y;;;;;;b;p;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;;d;e
;;;;;;;b;;;;;s;;;;;;;w;;;e
;;;;;;;b;;;;k;s;;;;;;;;;;e
;f;;;;;;b;;;;;s;;;;;;;;;;e
;;n;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;p;;;;;;;;e
;;;;;;;b;;;;;s;p;;;;;;;;;e
;;e;;;;;b;;;;;s;;;;;;;;;;e
k;;;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;c;;e
;;;f;;;;b;;t;;;;;;;;;;;;;e
;;;f;;;;b;;;;;;w;;;;;;;;;e
;;;f;;;;b;;;;;;;w;;;;;;;;e
;;;f;;;;b;;;;;;;;;;;p;;;;e
;;;f;n;;;b;;;;;;;;;;;;;;;e
;s;;f;;;;b;;;;;;;;;;;;;;;e
;;;f;;;;b;;;;;;;;;;;;;s;;e
;;w;f;;;;b;;;;;;;;;;;;;;;e
b;;;f;;;;b;;;;;;;;;;;;;;;e
;y;;;;;;b;;t;;;;;;;;;;;;;e
;;;;;;;b;;t;;;;;;;;;;;;d;e
;;n;;;;;b;;t;;;;;;;;;;;;;e
;;;;;;;b;;t;;;;;p;;;;;;;;e
;;;;;;;b;;t;;;;p;;;;;;;;;e
;;e;;;;;b;;t;;;;;;;;;;;;;e
x;;;;;;;b;;e;;;;w;;;;;;;;;e
x;y;;;;;;b;;;;;;w;;;;;;;;;e
x;;;;;;;b;g;;;;;w;;;;;;;;;e
;;g;;;;;b;;e;;;;w;;;;;;;;;e
;;;;;;;b;p;e;;;;w;;;;;;;;;e
;y;;;;;;b;p;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;;d;e
;;;;;;;b;;;;;;w;;;;;;w;;;e
;;;;;;;b;;;;k;;w;;;;;;;;;e
;f;;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;k;w;;;;;;;;;e
;;n;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;p;;;;;;;;e
;;e;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;;p;e
;;y;;;;;b;;;;;;w;;;;;;;;;e
k;;;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;c;;e
;;;;;;;b;;;;;y;w;;;;;;;;;e
x;;;;;;;b;;e;;;;;w;;;;;;;;e
x;y;;;;;;b;;;;;;;w;;;;;;;;e
x;;;;;;;b;g;;;;;;w;;;;;;;;e
;;g;;;;;b;;e;;;;;w;;;;;;;;e
;;;;;;;b;p;e;;;;;w;;;;;;;;e
;y;;;;;;b;p;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;;d;e
;;;;;;;b;;;;;;;w;;;;;w;;;e
;;;;;;;b;;;;k;;;w;;;;;;;;e
;f;;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;k;;w;;;;;;;;e
;;n;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;p;w;;;;;;;;e
;;e;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;;p;e
k;;;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;c;;e
x;y;;;;;;b;w;;;;;;;;;;;;v;;e
;;;;;;;b;w;;;;;;;;;;;;v;d;e
;;n;;;;;b;;;;;;;;;;;;;v;;e
;;e;;;;;b;;;;;;;;;;;;;v;;e
x;;;;;;;b;;e;;;;;;;;;p;;;;e
x;y;;;;;;b;;;;;;;;;;;p;;;;e
x;;;;;;;b;g;;;;;;;;;;p;;;;e
;;g;;;;;b;;e;;;;;;;;;p;;;;e
;;;;;;;b;p;e;;;;;;;;;p;;;;e
;y;;;;;;b;p;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;p;;;d;e
;;;;;;;b;;;;;;;;;;;p;w;;;e
;f;;;;;;b;;;;;;;;;;;p;;;;e
;;n;;;;;b;;;;;;;;;;;p;;;;e
k;;;;;;;b;;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;p;;c;;e
x;;;;n;;;b;;;;;;;;;;;;;;;e
x;;;t;;;;b;;e;;;;;;;;;;;;;e
x;s;;;;;;b;;e;;;;;;;;;;;;;e
x;;;;;;;b;w;e;;;;;;;;;;;;g;e
x;;w;;;;;b;;e;;;;;;;;;;;;;e
x;y;;t;;;;b;;;;;;;;;;;;;;;e
x;y;w;;;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;;d;e
;;;;n;;;b;;;;;;;;;;;;w;;;e
;;;;n;;;b;;;;k;;;;;;;;;;;e
;f;;;n;;;b;;;;;;;;;;;;;;;e
;;n;;n;;;b;;;;;;;;;;;;;;;e
k;;;;n;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;c;;e
;;;;n;;;b;y;;;;;;;;;;;;;;e
;;;t;;;;b;p;e;;;;;;;;;;;;;e
;s;g;;;;;b;;e;;;;;;;;;;;;;e
;;;;;;;b;;e;;;;;;;;;;;s;;e
;y;;t;;;;b;p;;;;;;;;;;;;;;e
;;;t;;;;b;;;;;;;;;;;;;c;;e
;;;t;;;;b;;;;;;;;;;;;w;;;e
;;n;t;;;;b;;;;;;;;;;;;;;;e
k;;;t;;;;b;;;;;;;;;;;;;;;e
;y;;;;;;b;;;;;;;;;;;;;s;;e
;;;;;;;b;;;;;;;;;;;e;;;;e
;s;;;;;;b;;;;;;;;;;;;w;;;e
;s;;;;;;b;;;;k;;;;;;;;;;;e
;s;;;;;;b;;;;;k;;;;;;;;;;e
;s;n;;;;;b;;;;;;;;;;;;;;;e
k;s;;;;;;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;?;;;;;;;;;;;;e
;f;;;;;;b;;;;;;;;;;;;w;;;e
;;;;;;;b;;;;;k;;;;;;;w;;;e
;;w;;;;;b;;;;;;;;;;;;w;;;e
b;;;;;;;b;;;;;;;;;;;;w;;;e
;f;n;;;;;b;;;;;;;;;;;;;;;e
;f;;;;;;b;;;;;;;;;;;;;s;;e
;f;;;;;;b;w;;;;;;;;;;;;;;e
;f;w;;;;;b;;;;;;;;;;;;;;;e
;;n;;;;;b;;;;;;;;;;;;;;g;e
;;n;;;;;b;;;;;;;p;;;;;;;;e
;;n;;;;;b;;;;;;p;;;;;;;;;e
;;n;;;;;b;p;;;;;;;;;;;;;;e
;;n;;;;;b;;;;;;;;;;;;;s;;e
;;n;;;;;b;;;;;;;;;;;;;;p;e
b;;n;;;;;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;e;;;;;b;;;;;;;p;;;;;;;;e
;;e;;;;;b;;;;;;p;;;;;;;;;e
;;;;;;w;b;;;;;;;;;;;;;;;e
;;;;;;;b;g;;;;;;;;;;;;s;;e
;;y;;;;;b;w;;;;;;;;;;;;;;e
;;;;;;;b;;;e;;;;;;;;;;;;e
;;y;;;;;b;;;c;;;;;;;;;;;;e
b;;y;;;;;b;;;;;;;;;;;;;;;e
;;y;;;;;b;;;;;y;;;;;;;;;;e
;;;;;;;b;n;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;;;;l;e
b;;;;;;;b;;;c;;;;;;;;;;;;e
;;;;;;;b;u;;;;;;;;;;;;;;e
;;;;;;;b;k;;;;;;;;;;;;;;e
;;;f;n;;;;;;;s;;;;;;;;;;;e
;y;;f;;;;;;e;;s;;;;;;;;;;;e
f;;;f;;;;;;e;;s;;;;;;;;;;;e
;;;f;;;;;;e;;s;;;;;;;;w;;;e
;;n;f;;;;;;e;;s;;;;;;;;;;;e
;;;f;;;;;;e;;s;;;;;;;;;;l;e
k;;;f;;;;;;e;;s;;;;;;;;;;;e
f;;g;f;;;;;;;;s;;;;;;;;;;;e
f;;;f;;;;;p;;;s;;;;;;;;;;;e
f;;;f;;;w;;;;;s;;;;;;;;;;;e
;;;f;;;w;;;;;s;;;;;;;;w;;;e
;;;f;;;;;;;;s;;;;;;;;;;g;e
k;;;f;;;w;;;;;s;;;;;;;;;;;e
;;;f;;;;;w;;;s;;;;;;;;;;;e
;;;f;;;;;h;;;s;;;;;;;;;;;e
b;;;f;;;;;;;;s;;;;;;;;;;;e
;;;f;;;;;;;;s;;;;;;;;;c;;e
;;;;n;;;n;;;;s;;;;;;;;;v;;e
x;y;;;;;;;;;b;s;;;;;;;;;;;e
;y;;;;;;;;;b;s;;;;;;;;;;d;e
;y;;;;;;;p;;b;s;;;;;;;;;;;e
f;;;;;;;;;;b;s;;;;;;;;;;d;e
;;;;;;;;;;b;s;;;p;;;;;;;;e
;;;;;;;;;;b;s;;p;;;;;;;;;e
x;;;;n;;;;;;;s;;;;;;;;;;;e
x;;;;;;;;;e;;s;;;;;;;;w;;;e
x;;;;;;;;w;;;s;;;;;;;;w;;;e
x;;;;;;;;;;;s;;;;;;;;;c;;e
;;;;n;;;;;;;s;;;;;;;;;;d;e
;;;;n;;;;;;;s;;;;;;;e;;;;e
;;;;n;;;;;;?;s;;;;;;;;;;;e
;f;;;n;;;;;;;s;;;;;;;;;;;e
;;n;;n;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;e;;s;;;;;;;e;;;;e
;;;;;;;;;e;?;s;;;;;;;;;;;e
;;n;;;;;;;e;;s;;;;;;;;w;;;e
;;;;;;;;;e;;s;k;;;;;;;;;;e
k;;n;;;;;;;e;;s;;;;;;;;;;;e
;;g;;;;;;;e;;s;;;;;;;;;;g;e
;;;;;;;;;e;;s;;;;;;;;;;p;e
;y;;;;;;;p;;;s;;;;;;;;;;d;e
;y;g;;;;;;;;;s;;;;;;;;;;;e
f;;g;;;;;;;;;s;;;;;;;;;;d;e
f;;;;;;;;p;;;s;;;;;;;;;;d;e
f;f;;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;w;;;s;;;;;;;;;;d;e
;f;;;;;;;;;;s;;;;;;;e;;;;e
;;;;;;w;;;;;s;;;;;;;e;;;;e
;;;;;;;;w;;;s;;;;;;;e;;;;e
;;;;;;;;;;;s;;;;;;;e;;c;;e
;f;;;;;;;;;?;s;;;;;;;;;;;e
;;;;;;;;w;;?;s;;;;;;;;;;;e
b;;;;;;;;;;?;s;;;;;;;;;;;e
;f;;;;;;;;;;s;;;;;;;;w;;;e
;f;n;;;;;;;;;s;;;;;;;;;;;e
;f;;;;;;;;;;s;;;;;;;;;;g;e
;f;;;;;;;;;;s;;;p;;;;;;;;e
;f;;;;;;;;;;s;;p;;;;;;;;;e
;f;;;;;;;w;;;s;;;;;;;;;;;e
;;;;;;;;;;;s;k;;;;;;;;;g;e
;;n;;;;;;;;;s;;;;;;;;;c;;e
;;g;;;;;;;;;s;;;p;;;;;;;;e
;;;;;;;;p;;;s;;;p;;;;;;;;e
;;g;;;;;;;;;s;;p;;;;;;;;;e
;;;;;;;;p;;;s;;p;;;;;;;;;e
;;;;;;;;;;;s;;;;;;;;;y;;e
;;e;;;;;;w;;;s;;;;;;;;;;;e
;;y;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;;c;s;;;;;;;;;;;e
;;;;;;;;;;;s;y;;;;;;;;;;e
;;;;;a;;;;;;s;;;;;;;;;;;e
;;;;;;;;y;;;s;;;;;;;;;;;e
;;;f;n;;;;;;;;s;;;;;;;;;;e
f;;;f;;;;;;e;;;s;;;;;;;;;;e
;;;f;;;;;;e;;;s;;;;;;;w;;;e
;;n;f;;;;;;e;;;s;;;;;;;;;;e
;;;f;;;;;;e;;;s;;;;;;;;;l;e
k;;;f;;;;;;e;;;s;;;;;;;;;;e
f;;g;f;;;;;;;;;s;;;;;;;;;;e
f;;;f;;;;;p;;;;s;;;;;;;;;;e
f;;;f;;;w;;;;;;s;;;;;;;;;;e
;;;f;;;w;;;;;;s;;;;;;;w;;;e
;;;f;;;;;;;;;s;;;;;;;;;g;e
k;;;f;;;w;;;;;;s;;;;;;;;;;e
;;;f;;;;;w;;;;s;;;;;;;;;;e
;;;f;;;;;h;;;;s;;;;;;;;;;e
b;;;f;;;;;;;;;s;;;;;;;;;;e
;;;f;;;;;;;;;s;;;;;;;;c;;e
;;;;n;;;n;;;;;s;;;;;;;;v;;e
x;y;;;;;;;;;b;;s;;;;;;;;;;e
;y;;;;;;;;;b;;s;;;;;;;;;d;e
;y;;;;;;;p;;b;;s;;;;;;;;;;e
f;;;;;;;;;;b;;s;;;;;;;;;d;e
;;;;;;;;;;b;;s;;p;;;;;;;;e
;;;;;;;;;;b;;s;p;;;;;;;;;e
x;;;;n;;;;;;;;s;;;;;;;;;;e
x;;;;;;;;;e;;;s;;;;;;;w;;;e
x;;;;;;;;w;;;;s;;;;;;;w;;;e
x;;;;;;;;;;;;s;;;;;;;;c;;e
;;;;n;;;;;;;;s;;;;;;;;;d;e
;;;;n;;;;;;;;s;;;;;;e;;;;e
;;;;n;;;;;;?;;s;;;;;;;;;;e
;;;;n;;;;;;;k;s;;;;;;;;;;e
;f;;;n;;;;;;;;s;;;;;;;;;;e
;;n;;n;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;e;;;s;;;;;;e;;;;e
;;;;;;;;;e;?;;s;;;;;;;;;;e
;;n;;;;;;;e;;;s;;;;;;;w;;;e
;;;;;;;;;e;;k;s;;;;;;;;;;e
k;;n;;;;;;;e;;;s;;;;;;;;;;e
;;g;;;;;;;e;;;s;;;;;;;;;g;e
;y;;;;;;;p;;;;s;;;;;;;;;d;e
;y;g;;;;;;;;;;s;;;;;;;;;;e
f;;g;;;;;;;;;;s;;;;;;;;;d;e
f;;;;;;;;p;;;;s;;;;;;;;;d;e
f;f;;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;w;;;;s;;;;;;;;;d;e
;f;;;;;;;;;;;s;;;;;;e;;;;e
;;;;;;w;;;;;;s;;;;;;e;;;;e
;;;;;;;;w;;;;s;;;;;;e;;;;e
;;;;;;;;;;;;s;;;;;;e;;c;;e
;f;;;;;;;;;?;;s;;;;;;;;;;e
;;;;;;;;w;;?;;s;;;;;;;;;;e
b;;;;;;;;;;?;;s;;;;;;;;;;e
;f;;;;;;;;;;;s;;;;;;;w;;;e
;;;;;;;;;;;k;s;;;;;;;;;g;e
;f;n;;;;;;;;;;s;;;;;;;;;;e
;f;;;;;;;;;;;s;;;;;;;;;g;e
;f;;;;;;;;;;;s;;p;;;;;;;;e
;f;;;;;;;;;;;s;p;;;;;;;;;e
;f;;;;;;;w;;;;s;;;;;;;;;;e
;;n;;;;;;;;;;s;;;;;;;;c;;e
;;g;;;;;;;;;;s;;p;;;;;;;;e
;;;;;;;;p;;;;s;;p;;;;;;;;e
;;g;;;;;;;;;;s;p;;;;;;;;;e
;;;;;;;;p;;;;s;p;;;;;;;;;e
;;;;;;;;;;;;s;;;;;;;;y;;e
;;e;;;;;;w;;;;s;;;;;;;;;;e
;;y;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;;c;;s;;;;;;;;;;e
;;;;;a;;;;;;;s;;;;;;;;;;e
;;;;;;;;y;;;;s;;;;;;;;;;e
;;;f;;;;;;t;;;;;;;;;;;;g;e
;;g;f;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;;p;t;;;;;;;;;;;;;e
;;;f;;;;;;t;;;;;;;;;;;s;;e
;;w;f;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;;h;t;;;;;;;;;;;;;e
;;;f;n;;w;;;;;;;w;;;;;;;;;e
f;;g;f;;;;;;;;;;w;;;;;;;;;e
f;;;f;;;;;p;;;;;w;;;;;;;;;e
f;;;f;;;w;;;;;;;w;;;;;;;;;e
;;;f;;;w;;;;;;;w;;;;;;w;;;e
;;;f;;;;;;;;;;w;;;;;;;;g;e
;;;f;;;w;;w;;;;;w;;;;;;;;;e
k;;;f;;;w;;;;;;;w;;;;;;;;;e
b;;;f;;;w;;;;;;;w;;;;;;;;;e
;;;f;;;;;h;;;;;w;;;;;;;;;e
;;;f;n;;;;;;;;;;w;;;;;;;;e
f;;;f;;;;;;e;;;;;w;;;;;;;;e
;;;f;;;;;;e;;;;;w;;;;;w;;;e
k;;;f;;;;;;e;;;;;w;;;;;;;;e
f;;;f;;;w;;;;;;;;w;;;;;;;;e
f;;g;f;;;;;;;;;;;w;;;;;;;;e
f;;;f;;;;;p;;;;;;w;;;;;;;;e
;;;f;;;w;;;;;;;;w;;;;;w;;;e
;;;f;;;;;;;;;;;w;;;;;;;g;e
k;;;f;;;w;;;;;;;;w;;;;;;;;e
;;;f;;;;;w;;;;;;w;;;;;;;;e
;;;f;;;;;h;;;;;;w;;;;;;;;e
b;;;f;;;;;;;;;;;w;;;;;;;;e
;;;f;n;;;;;;;;;;;;;;p;;;;e
f;;;f;;;;;;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;w;;;e
;;n;f;;;;;;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;;;g;e
;;;f;;;;;w;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;;;l;e
k;;;f;;;;;;;;;;;;;;;p;;;;e
b;;;f;;;;;;;;;;;;;;;p;;;;e
;;;f;;;;;;;;;;;;;;;p;;c;;e
;;;f;n;;;;;;b;;;;;;;;;;;;e
;;;f;;;;;;;b;;;;;;;;;w;;;e
;;;f;;;;;w;;b;;;;;;;;;;;;e
;s;;f;n;;;;;;;;;;;;;;;;;;e
;;;f;n;;;;;;;;;;;;;;;;;g;e
;;w;f;n;;;;;;;;;;;;;;;;;;e
;;;f;n;;;;g;;;;;;;;;;;;;;e
f;s;;f;;;;;;e;;;;;;;;;;;;;e
;s;n;f;;;;;;e;;;;;;;;;;;;;e
f;s;g;f;;;;;;;;;;;;;;;;;;;e
f;;;f;;;;;;;;;;;;;;;;n;;;e
f;;;f;;;;;;;;;;;;;;;;k;;;e
f;;;f;;;;;;;;;;;;;;;;;s;;e
f;;;f;;;;;n;;;;;;;;;;;;;;e
f;;w;f;;;;;;;;;;;;;;;;;;;e
;s;;f;;;;;;;;;;;;;;;;;;g;e
;s;;f;;;;;w;;;;;;;;;;;;;;e
;s;;f;;;;;h;;;;;;;;;;;;;;e
b;s;;f;;;;;;;;;;;;;;;;;;;e
