cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;;f;;;c;;;;;;;;;;;;;;;g;p
;f;;;;;c;;;;;;;;;;;;;;;g;p
;y;;;;;c;;;;;;;;;;;;;;;l;p
;;g;;;;c;;h;;;;;;;;;;;;;;p
;;;f;;;c;;;t;;;;;;;;;;;;;p
;;;f;;;c;;;;;;;;;;;;e;;;;p
;;;;;;c;;;t;;;;;;;;;e;;;;p
;;;;;;c;;;;;;;;;;;;e;;v;;p
;;;;;;c;;;;;;;;;;;;e;;;l;p
;;;;;;c;;;;;;;;n;;;;;;v;;p
;f;;;;;c;;h;;;;;;;;;;;;;;p
;f;;;;;c;;;;;;;;n;;;;;;;;p
;;;;;;c;;;;;;;;;;;;;w;;l;p
;;;;;;;n;;;;;;;w;;;;e;;;;p
;;;;;;;n;;;;;;;w;;;;;w;;;p
k;;;;;;;n;;;;;;;w;;;;;;;;p
;y;;;;;;n;;t;;;;;;;;;;;;;p
;;;f;;;;n;;t;;;;;;;;;;;;;p
;;;;;;;n;;t;;;;;;;;;e;;;;p
;;;;;;;n;;;;;;;;;;;;w;;d;p
k;;;;;;;n;;;;;;;;;;;;;;d;p
;;y;;;;;;;e;;;;;;;;;;;v;;p
;f;y;;;;;;;e;;;;;;;;;;;;;p
;;y;;;;;;;e;b;;;;;;;;;;;;p
;;y;;;;;;;e;;;;;;;;;;;;d;p
;;;;;;;b;h;e;;;;;;;;;;;;;p
;;g;;;;;;;e;;;;;;;;;;;;d;p
;;g;;;;;;h;e;;;;;;;;;;;;;p
;;;;;;;;p;e;b;;;;;;;;;;;;p
;f;;;;;;;;e;;;;;;;;;;;;d;p
;f;;;;;;;h;e;;;;;;;;;;;;;p
;;;f;;;;;;;;s;;;;;;;;;;p;p
;;;;;;;;;;;s;;;;;;;;w;;d;p
;;;;;;;;;;;;s;;;;;o;;;;p;p
;;;f;;;;;;;;;s;;;;;;;;;d;p
;;;f;;;;;;;;;s;;;;;;;;;p;p
;;;;;;;;;;;;s;;;;;;;w;;d;p
;;;f;;;;;;;;;;w;;;;;;;;p;p
;;;;;;;;;;;;;w;;;;;;w;;d;p
;;;;;;;;;;;;;;w;;;o;;w;;;p
k;;;;;;;;;;;;;;w;;;o;;;;;p
;;;f;;;;;;;;;;;w;;;;;;;p;p
;;;;;;;;;;;;;;w;;;;e;;v;;p
k;;;;;;;;;;;;;;w;;;;;;v;;p
;;;;;;;;;;;;;;w;;;;;w;;d;p
;;;;;;;b;;;;;;;n;;;o;;;;;p
;;g;;;;;;;;;;;;;;;o;;;;p;p
;;;f;;;;;;;;;;;;;;o;;;;p;p
;;e;;;;;;;;;;;;;;;o;e;;;;p
;;;;;;;;;;;;;;;;;o;;;v;p;p
;;;;;;;;;;;;;;n;;;o;;;y;;p
;;;;;;;;;;b;;;;;;;o;;;;p;p
;;;;;;;;;;;;;;;;;o;;w;;d;p
k;;;;;;;;;;;;;;;;;o;;;;d;p
;;;;;;;;;;;;;;;;;o;;w;;p;p
;;e;;;;;;;;;;;;;;;o;;w;;;p
k;;e;;;;;;;;;;;;;;;o;;;;;p
;;y;;;;;b;;;;;;;;;;;;;v;;p
;f;y;;;;;b;;;;;;;;;;;;;;;p
;;y;;;;;b;;;b;;;;;;;;;;;;p
;;y;;;;;b;;;;;;;;;;;;;;d;p
;y;y;;;;;;;;b;;;;;;;;;;;;p
;;y;;;;;;;;b;;;;;;;;;;y;;p
;;y;;;;;;;;b;;;;;;;;;;;p;p
;y;;;;;;b;h;;;;;;;;;;;;;;p
;;;;;;;b;g;;;;;;;;;;;;v;;p
;;;;;;;b;g;;;;;;;;;;;;y;;p
f;;;;;;;b;g;;;;;;;;;;;;;;p
;;;;;;;b;h;;;;;;;;;;;;v;;p
;;;;;;;b;;;;;;;n;;;;;;v;;p
;f;;;;;;b;;;;;;;n;;;;;;;;p
;;;;;;;b;h;;;;;;;;;;;;y;;p
;y;;f;;;;;;;;;;;;;;;;;;g;p
;;;f;;;;;;;;;;;;;;;;;y;g;p
;y;g;f;;;;;;;;;;;;;;;;;;;p
;y;;f;;;;;;t;;;;;;;;;;;;;p
;y;;f;;;;;g;;;;;;;;;;;;;;p
;y;;;;;;;;t;;;;;;;;;e;;;;p
;;g;f;;;;;;;b;;;;;;;;;;;;p
;;g;f;;;;;;;;;;;;;;;;;;d;p
;;g;f;;;;;;;;;;;;;;;;;;p;p
;;;f;;;;;;t;;;;;;;;;;;v;;p
;;;f;;;;;;t;;;;;;;;;;;;d;p
;;;f;;;;;p;;b;;;;;;;;;;;;p
;;;f;;;;;;;;;;;;;;;;;v;p;p
;f;;f;;;;;;;;;;;;;;;;;;d;p
;;;;;;;;;t;;;;;;;;;e;;v;;p
;;e;;;;;;;t;;;;;;;;;e;;;;p
;;e;;;;;;;;;;;;;;;;e;;v;;p
;;;;;;;;;;;;;;;;;;;w;v;d;p
k;;;;;;;;;;;;;;;;;;;;v;d;p
;;e;;;;;;;;;;;;;;;;;w;v;;p
k;;e;;;;;;;;;;;;;;;;;;v;;p
;;e;;;;;;;;;;;;;;;;;w;;d;p
;;;f;;;;b;;e;;;;;;;w;o;;;;;p
;;;;;;;b;;e;;;;;;;w;o;;;v;;p
;y;;;;;;b;;e;;;;;;;;o;;;v;;p
;;;f;;;;b;p;e;;;;;;;;o;;;;;p
f;;g;f;;;;b;;e;;;;;;;;;;;;;p
f;;;f;;;;b;p;e;;;;;;;;;;;;;p
;s;n;;;;;;;t;;;;;;;;;;;v;;p
;s;;t;;;;b;;t;;;;;;;;;;;;;p
k;s;;;;f;;;;;;;;;;;;o;;;;;p
;s;;f;;f;;;;;;;;;;;;;;;v;;p
k;s;;;;f;;;;;;;;;;;;;;;v;;p
;s;;f;;;c;;;;;;;w;;;;;;;;;p
;s;;f;;;c;;;;;;;;w;;;;;;;;p
;s;;;;;c;;;;b;;;;;;;o;;;;;p
;s;;;;;c;;;;;;;;;;;o;;;;d;p
;s;;;;;c;;;;;;;;;;;;;;v;d;p
;s;;f;;;;;;;;s;;;;;;;;;;d;p
;s;;f;;;;;;;;;;w;;;;;;;v;;p
;s;;f;;;;;;;;;;w;;;;;;;;d;p
;s;;f;;;;;;;;;;;w;;;;;;v;;p
;s;;f;;;;;;;;;;;w;;;;;;;d;p
k;s;;;;;;;;;;;;;;;w;o;;;;;p
;s;;f;;;;;;;;;;;;;w;;;;v;;p
k;s;;;;;;;;;;;;;;;w;;;;v;;p
;s;;;;;;b;;;b;;;;;;;o;;;;;p
;s;;f;;;;;;;;;;;;;;o;;;;d;p
k;s;;;;;;;;;;;;;;;;o;e;;;;p
;s;;;;;;b;;t;;;;;;;;;p;;;;p
;s;;;;;;b;;t;b;;;;;;;;;;;;p
;s;;f;;;;;;;;;;;;;;;e;w;;;p
k;s;;f;;;;;;;;;;;;;;;e;;;;p
;s;;f;;;;;;;;;;;;;;;;;v;d;p
;s;;f;;;;;;;;;;;;;;;;w;v;;p
k;s;;;;;;;;;;;;;;;;;;w;v;;p
;y;n;;;;c;n;;;;;;;;;;;;;;;p
;y;n;;;;;n;;;;;;;w;;;;;;;;p
;y;n;f;;;;;;;;;;;w;;;;;;;;p
;;n;f;;;;;;;;;;;w;;;;;w;;;p
;;n;f;;;;;;;;;;;;;;o;;;;d;p
;;n;f;;;;;;;;;;;;;;;;;v;d;p
k;;;;;f;c;;;;;;;;;;;o;;;;;p
k;;;;;f;c;;;;;;;;;;;;;;v;;p
;;;f;;f;;b;;;;;;;;;;;;;v;;p
;y;;;;;c;n;;;;;s;;;;;;;;;;p
;;;;;;c;n;;;;;s;;;;;;;;;d;p
;;;;;;c;;;e;b;;;;;;;o;;;;;p
;f;;;;;c;b;;e;;;;;;;;;;;;;p
;f;;;;;c;;;e;b;;;;;;;;;;;;p
;;;f;;;c;;;;;s;;;;;;;;w;;;p
;y;;f;;;c;;;;;;s;;;;;;;;;;p
;;;f;;;c;;;;;;s;;;;;;;w;;;p
k;;;;;;c;;;;;;;w;;;;o;;;;;p
;;;f;;;c;;;;;;;w;;;;;;w;;;p
k;;;f;;;c;;;;;;;w;;;;;;;;;p
k;;;;;;c;;;;;;;w;;;;;;;v;;p
;;;f;;;c;;;;;;;;w;;;;;w;;;p
k;;;f;;;c;;;;;;;;w;;;;;;;;p
k;;;;;;c;;;;;;;;;;w;o;;;;;p
k;;;;;;c;;;;;;;;;;w;;;;v;;p
k;y;;;;;c;;;;;;;;;;;o;;;;;p
;;;f;;;c;;;;b;;;;;;;o;;;;;p
;;g;f;;;c;b;;;;;;;;;;;;;;;p
;;g;;;;c;b;g;;;;;;;;;;;;;;p
;;;f;;;c;b;g;;;;;;;;;;;;;;p
;;;f;;;c;b;p;;;;;;;;;;;;;;p
;f;;f;;;c;b;;;;;;;;;;;;;;;p
;f;;;;;c;b;g;;;;;;;;;;;;;;p
k;y;;;;;c;;;;;;;;;;;;;;v;;p
;;;f;;;c;;;;b;;;;;;;;;;v;;p
;;;f;;;c;;;;;;;;;;;;;w;v;;p
;f;;f;;;c;;;;b;;;;;;;;;;;;p
k;;;;;;c;;;;;;;;;;;;;w;v;;p
;;w;;;;;n;;e;;;s;;;;;;;;;;p
;;;;;;;n;;e;b;;;;w;;;;;;;;p
;;w;;;;;n;;e;;;;;;;;;p;;;;p
;;;;;;;n;;e;b;;;;;;;;p;;;;p
;y;;;;;;n;;;;;s;;w;;;;;;;;p
;;;;;;;;;e;b;;;;w;;;o;;;;;p
;;;;;;;;;e;b;;;;;;;o;p;;;;p
;;g;;;;;b;;e;;;;;;;;o;;;;;p
;f;;;;;;b;;e;;;;;;;;o;;;;;p
;;;;;;;b;;e;b;;;;;;;o;;;;;p
;;;;;;;b;;e;;;;;;;;o;;;;d;p
;;g;;;;;;;e;;;;;;;;o;;;;g;p
;;;f;;;;;;e;;;;;;;;o;;;;g;p
;f;;;;;;;;e;;;;;;;;o;;;;g;p
;y;g;;;;;;;e;;;;;;;;o;;;;;p
;;g;;;;;;;e;b;;;;;;;o;;;;;p
;;;;;;;;;e;b;;;;;;;o;;;y;;p
;;;;;;;;;e;b;;;;;;;o;;;;d;p
;;;;;;;b;p;e;;;;;;;;;;;v;;p
;f;;;;;;b;;e;;;;;;;;;;;v;;p
;;;;;;;b;;e;;;;;;;;;;;v;d;p
;f;;;;;;b;;e;;;;;;;;;;;y;;p
f;f;;;;;;b;;e;;;;;;;;;;;;;p
;f;;;;;;b;;e;b;;;;;;;;;;;;p
f;;;f;;;;;;e;;;;;;;;;;;;g;p
;f;g;;;;;;;e;b;;;;;;;;;;;;p
;;;;;;;;;e;b;;;;;;;;;;v;d;p
;f;;;;;;;;e;b;;;;;;;;;;y;;p
;y;;f;;;;;;;;;s;;w;;;;;;;;p
;y;;;;;;;;;;;;;w;;;o;e;;;;p
;y;;f;;;;;;;;;;;w;;;;e;;;;p
;y;;f;;;;;;;;;;;w;;;;;w;;;p
;;;f;;;;;;;;;;;w;;;;e;w;;;p
k;;;f;;;;;;;;;;;w;;;;e;;;;p
;;;f;;;;;;;;;;;w;;;;;w;v;;p
f;;;f;;;;;;;;;;;w;;;;;w;;;p
;;;f;;;;b;;;;;;;;;w;;;;v;;p
;y;;f;;;;b;;;;;;;;;;o;;;;;p
;;g;;;;;b;g;;;;;;;;;o;;;;;p
;;;f;;;;b;g;;;;;;;;;o;;;;;p
;;;f;;;;b;;;;;;;;;;o;;;y;;p
;;;f;;;;b;;;b;;;;;;;o;;;;;p
;;;f;;;;b;;;;;;;;;;o;;;;d;p
;f;;;;;;b;g;;;;;;;;;o;;;;;p
;;;f;;;;;;;b;;;;;;;o;;;y;;p
;;;f;;;;;;;b;;;;;;;o;;;;d;p
;y;;f;;;;b;p;;;;;;;;;;;;;;p
;y;;f;;;;b;;;;;;;;;;;;;v;;p
;;g;f;;;;b;;;;;;;;;;;;;v;;p
;;g;f;;;;b;;;;;;;;;;;;;y;;p
;;;f;;;;b;p;;;;;;;;;;;;v;;p
;;;f;;;;b;p;;;;;;;;;;;;y;;p
;f;;f;;;;b;;;;;;;;;;;;;v;;p
;;;f;;;;b;;;b;;;;;;;;;;v;;p
;;;f;;;;b;;;;;;;;;;;;;v;d;p
;f;;f;;;;b;;;;;;;;;;;;;y;;p
;f;;f;;;;b;;;b;;;;;;;;;;;;p
;;;f;;;;;;;b;;;;;;;;;;v;d;p
;f;;f;;;;;;;b;;;;;;;;;;y;;p
;y;;;;;;;;;b;;;;;;;o;p;;v;;e
;y;;t;;;;;;;b;;;;;;;o;;;v;;e
;;;;a;;;;;;;;;;;;;;;;;;e
;;;;;;;;;;;;;;;;;;;;n;;e
;;;;l;;;;;;;;;;;;;;;;;;e
;;;;;;;;;;;;;;;;;;;;a;;e
;;;;;;;;;;;;;g;;;;;;;;;e
;;;;;;;;;;;;;;g;;;;;;;;e
;s;;;;;;;;;c;;;;;;;;;;;;e
;;n;;;;w;;;;;;;;;;;;;;;;e
;;n;;;;;;;;;;;;;;;;;;y;;e
;;n;;;;;;;;b;;;;;;;;;;;;e
;;y;t;;;;;;;;;;;;;;;;;;;e
;;;t;;;;;;;c;;;;;;;;;;;;e
;f;;t;;;;;;;;;;;;;;;;;;;e
;;;t;;;;;;;;;;;;;;;;;y;;e
;;;t;;;;;;;;;;;;;;;;;;d;e
;;;t;;;;;;;;;;;p;;;;;;;;e
;;;t;;;;;;;;;;p;;;;;;;;;e
;;;t;;;;;u;;;;;;;;;;;;;;e
;;e;t;;;;;;;;;;;;;;;;;;;e
;;;;;;;b;k;;;;;;;;;;;;;;e
;;;f;;;;;k;;;;;;;;;;;;;;e
;;;;n;;;;k;;;;;;;;;;;;;;e
;;;;;;;b;;;e;;;;;;;;;;;;e
;;g;;;;;;;;e;;;;;;;;;;;;e
;;;f;;;;;;;e;;;;;;;;;;;;e
;;;;n;;;;;;e;;;;;;;;;;;;e
;;;;;;w;;;;e;;;;;;;;;;;;e
;;;;;;;;;t;e;;;;;;;;;;;;e
;;;;;;;;;;e;;;;;;;;e;;;;e
;f;;;;;;;;;e;;;;;;;;;;;;e
;;;;;;;;;;e;;f;;;;;;;;;;e
;;;;;;;;;;e;f;;;;;;;;;;;e
;;y;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;;c;s;;;;;;;;;;;e
;;;;;;;;;;;s;;;;;;;;;y;;e
;;y;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;;c;;s;;;;;;;;;;e
;;;;;;;;;;;;s;;;;;;;;y;;e
;;;;;;;;;;c;;;w;;;;;;;;;e
;;;;;;;;;;;;;w;;;;;;;y;;e
;;y;;;;;;;;;;;;w;;;;;;;;e
;;;;;;;;;;c;;;;w;;;;;;;;e
;;;;;;;;;;;;;;w;;;;;;y;;e
;;;;;;;;;;;;;;;;;o;;;;m;e
;;y;;;;;;;;;;;;;;;;p;;;;e
;;;;;;;;;;c;;;;;;;;p;;;;e
;;;;;;;;;;;;;;;;;;p;;y;;e
;;;;;;;;;;;;y;;;;;;p;;;;e
;;;;;;;;;;;;;;p;;;;p;;;;e
;;;;;;;;;;;;;p;;;;;p;;;;e
;;e;;;;;;;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;;;;;;;;;c;;;;;;;;;k;;;e
;;;;n;;;;;;;;;;;;;;;k;;;e
;;;;;;;;;t;;;;;;;;;;k;;;e
;;;;;;;;;;;;;;;;;;e;k;;;e
;;;;;;;;;;;;;;;;;;;k;y;;e
;;;;;;;;;;;;;;p;;;;;k;;;e
;;;;;;;;;;;;;p;;;;;;k;;;e
;;e;;;;;;;;;;;;;;;;;k;;;e
;;;;;;;;;;c;;;;;;;;;;s;;e
;;;;n;;;;;;;;;;;;;;;;s;;e
;;;;;;;;;;;;;;;;;;e;;s;;e
;;y;;;;;;;;;;;;;;;;;n;;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;;;;b;n;;;;;;;;;;;;;;e
;;;;;;w;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;e;;;;e
;;;;;;;b;u;;;;;;;;;;;;;;e
;;;;;;;;;;c;;;;;;;;;n;;;e
;;;;;;;;;;c;;;;;;;;;;;g;e
;;w;;;;;;;;c;;;;;;;;;;;;e
;;;;;;;;;;c;;;;;;;;;;;m;e
;;;;n;;;;;;;;;;;;;;;n;;;e
;;;;;;;;;t;;;;;;;;;;n;;;e
;;;;;;;;;;;;;;;;;;e;n;;;e
;;;;;;;;;;;;;;;;;;;n;y;;e
;;;;;;;;;;;;;;p;;;;;n;;;e
;;;;;;;;;;;;;p;;;;;;n;;;e
;;e;;;;;;;;;;;;;;;;;n;;;e
;;;;;;w;;;;;;;;;;;;;;;g;e
;;;;;;;;;;;;;;;;;;e;;;g;e
;;;;;;;;;;;;;;;;;;;w;;g;e
;;w;;;;;;;;;;;;;;;;e;;;;e
